# id, cityname, citycode, airportname, airportcode
4092,Georgetown,GTT,Georgetown,GTT
4093,Geraldton,GET,Geraldton,GET
4094,Gettysburg,GTY,Regional,GTY
4095,Geva,GEF,Geva,GEF
4096,Gewoia,GEW,Gewoia,GEW
4097,Ghanzi,GNZ,Ghanzi,GNZ
4098,Ghardaia,GHA,Noumerat,GHA
4099,Ghat,GHT,Ghat,GHT
4100,Ghazni,GZI,Ghazni,GZI
4101,Ghazvin,GZW,Ghazvin,GZW
4102,Gheshm Island,GSM,Dayrestan,GSM
4103,Gibb River,GBV,Gibb River,GBV
4104,Gibraltar,GIB,Gibraltar,GIB
4105,Giebelstadt,GHF,Giebelstadt,GHF
4106,Gilgal,GGL,Gilgal,GGL
4107,Gilgit,GIL,Gilgit,GIL
4108,Gillette,GCC,Campbell County,GCC
4109,Ginbata,GBW,Ginbata,GBW
4110,Ginir,GNN,Ginir,GNN
4111,Girardot,GIR,Santiago Vila,GIR
4112,Girona,GRO,Costa Brava,GRO
4113,Gisborne,GIS,Gisborne,GIS
4114,Gisenyi,GYI,Gisenyi,GYI
4115,Gitega,GID,Gitega,GID
4116,Giyani,GIY,Giyani,GIY
4117,Gizan,GIZ,Gizan,GIZ
4118,Gizo,GZO,Nusatupe,GZO
4119,Gjogur,GJR,Gjogur,GJR
4120,Gladstone,GLT,Gladstone,GLT
4121,Gladwin,GDW,Zettel Memorial,GDW
4122,Glasgow,GGW,International,GGW
4123,Glasgow,GLA,International,GLA
4124,Glasgow,GLA,Prestwick,PIK
4125,Glasgow,GLW,Municipal,GLW
4126,Glen Innes,GLI,Glen Innes,GLI
4127,Glendale,GWV,Fokker Field,GWV
4128,Glendive,GDV,Dawson Community,GDV
4129,Glengyle,GLG,Glengyle,GLG
4130,Glenormiston,GLM,Glenormiston,GLM
4131,Glens Falls,GFL,Floyd Bennett Memorial,GFL
4132,Glenwood Springs,GWS,Municipal,GWS
4133,Globe,GLB,San Carlos Apache,GLB
4134,Gloucester/Cheltenham,GLO,Gloucestershire,GLO
4135,Gnarowein,GWN,Gnarowein,GWN
4136,Goa,GOI,Dabolim,GOI
4137,Goba,GOB,Robe,GOB
4138,Gobabis,GOG,Gobabis,GOG
4139,Gobernador Gregores,GGS,Gobernador Gregores,GGS
4140,Gode,GDE,Gode,GDE
4141,Goiania,GYN,Santa Genoveva,GYN
4142,Gokceada,GKD,Gokceada,GKD
4143,Gol,GLL,Klanten,GLL
4144,Gold Beach,GOL,Municipal,GOL
4145,Golden Horn,GDH,Golden Horn Lodge SPB,GDH
4146,Goldsboro,GSB,Seymour Johnson AFB,GSB
4147,Golfito,GLF,Golfito,GLF
4148,Golmud,GOQ,Golmud,GOQ
4149,Golog,GMQ,Maqin,GMQ
4150,Golovin,GLV,Golovin,GLV
4151,Goma,GOM,International,GOM
4152,Gombe,GMO,Lawanti,GMO
4153,Gomel,GME,Gomel,GME
4154,Gonaili,GOE,Gonaili,GOE
4155,Gonder,GDQ,Azezo,GDQ
4156,Gooding,GNG,Municipal,GNG
4157,Goodland,GLD,Renner Field,GLD
4158,Goodnews Bay,GNU,Goodnews Bay,GNU
4159,Goodyear,GYR,Phoenix Goodyear,GYR
4160,Goondiwindi,GOO,Goondiwindi,GOO
4161,Gora,GOC,Gora,GOC
4162,Gorakhpur,GOP,Gorakhpur,GOP
4163,Gordon,GRN,Municipal,GRN
4164,Gordon Downs,GDD,Gordon Downs,GDD
4165,Gordonsville,GVE,Municipal,GVE
4166,Gore,GOR,Gore,GOR
4167,Gorgan,GBT,Gorgan,GBT
4168,Gorkha,GKH,Palungtar,GKH
4169,Gorna Oryahovitsa,GOZ,Gorna Oryahovitsa,GOZ
4170,Goroka,GKA,Goroka,GKA
4171,Gorontalo,GTO,Djalaluddin,GTO
4172,Gosford,GOS,Gosford,GOS
4173,Goshen,GSH,Municipal,GSH
4174,Goteborg,GOT,Landvetter,GOT
4175,Goteborg,GOT,City Airport,GSE
4176,Goulburn,GUL,Goulburn,GUL
4177,Gounda,GDA,Gounda,GDA
4178,Goundam,GUD,Goundam,GUD
4179,Governador Valadares,GVR,A.Machado Oliveira,GVR
4180,Governor\s Harbour,GHB,Governor\s Harbour,GHB
4181,Gracias,GAC,Gracias,GAC
4182,Graciosa Island,GRW,Graciosa Island,GRW
4183,Grafton,GFN,Clarence Valley,GFN
4184,Granada,GRX,Federico Garcia Lorca,GRX
4185,Grand Canyon,GCN,Flagstaff Pulliam,FLG
4186,Grand Canyon,GCN,National Park,GCN
4187,Grand Canyon,GCN,Valle,VLE
4188,Grand Canyon West,GCW,Grand Canyon West,GCW
4189,Grand Cayman,GCM,Owen Roberts Intl,GCM
4190,Grand Cess,GRC,Grand Cess,GRC
4191,Grand Forks,GFK,International,GFK
4192,Grand Forks,GFK,AFB,RDR
4193,Grand Island,GRI,Central Nebraska Rgnl,GRI
4194,Grand Junction,GJT,Regional,GJT
4195,Grand Marais,GRM,Cook County,GRM
4196,Grand Rapids,GPZ,Itasca County,GPZ
4197,Grand Rapids,GRR,Gerald R. Ford Intl,GRR
4198,Grand Turk,GDT,J.A.G.S. McCartney Int,GDT
4199,Grand-Santi,GSI,Grand-Santi,GSI
4200,Granite Mountain,GMT,Air Station,GMT
4201,Grants,GNT,Grants-Milan Municipal,GNT
4202,Grants Pass,GTP,Grants Pass,GTP
4203,Grantsburg,GTG,Municipal,GTG
4204,Granville,GFR,Granville,GFR
4205,Graz,GRZ,Airport,GRZ
4206,Great Barrier Island,GBZ,Great Barrier Island,GBZ
4207,Great Barrington,GBR,Walter J. Koladza,GBR
4208,Great Bend,GBD,Municipal,GBD
4209,Great Falls,GTF,International,GTF
4210,Great Harbour Cay,GHC,Great Harbour Cay,GHC
4211,Great Keppel Island,GKL,Great Keppel Island,GKL
4212,Greeley,GXY,Weld County,GXY
4213,Green Bay,GRB,Austin-Straubel Intl,GRB
4214,Green River,GVI,Green River,GVI
4215,Greeneville,GCY,Greene County Muni,GCY
4216,Greenfield,GFD,Pope Field,GFD
4217,Greensboro/High Point,GSO,Piedmont Triad Intl,GSO
4218,Greenvale,GVP,Greenvale,GVP
4219,Greenville,GLH,Mid-Delta,GLH
4220,Greenville,GRE,Greenville,GRE
4221,Greenville,GVT,Majors,GVT
4222,Greenville/Spartanburg,GSP,Donaldson Field,GDC
4223,Greenville/Spartanburg,GSP,Greenville Downtown Ap,GMU
4224,Greenville/Spartanburg,GSP,International,GSP
4225,Greenville/Spartanburg,GSP,Spartanb. Downtown Mem,SPA
4226,Greenwood,GRD,Greenwood County,GRD
4227,Greenwood,GWO,Leflore,GWO
4228,Gregory Downs,GGD,Gregory Downs,GGD
4229,Grenada,GND,Maurice Bishop Intl,GND
4230,Grenfell,GFE,Grenfell,GFE
4231,Greybull,GEY,South Big Horn County,GEY
4232,Greymouth,GMN,Greymouth,GMN
4233,Griffith,GFF,Griffith,GFF
4234,Grimsey,GRY,Grimsey,GRY
4235,Grodno,GNA,Grodno,GNA
4236,Groningen,GRQ,Eelde,GRQ
4237,Groote Eylandt,GTE,Groote Eylandt,GTE
4238,Grootfontein,GFY,Grootfontein,GFY
4239,Grosseto,GRS,Corrado Baccarini,GRS
4240,Groton/New London,GON,Airport,GON
4241,Grozny,GRV,Grozny,GRV
4242,Grumeti,GTZ,Kirawira B,GTZ
4243,Grundarfjordur,GUU,Grundarfjordur,GUU
4244,Guacamayas,GCA,Guacamayas,GCA
4245,Guadalajara,GDL,Miguel Hidalgo Intl,GDL
4246,Guadalupe,GDP,Guadalupe,GDP
4247,Guajara-Mirim,GJM,Guajara-Mirim,GJM
4248,Gualeguaychu,GHU,Gualeguaychu,GHU
4249,Guam,GUM,A.B. Won Pat Intl,GUM
4250,Guam,GUM,Andersen AFB,UAM
4251,Guamal,GAA,Guamal,GAA
4252,Guanaja,GJA,Guanaja,GJA
4253,Guanambi,GNM,Guanambi,GNM
4254,Guanare,GUQ,Guanare,GUQ
4255,Guanghan,GHN,Guanghan,GHN
4256,Guangyuan,GYS,Panlong,GYS
4257,Guantanamo,GAO,Guantanamo Bay NS,GAO
4258,Guantanamo,GAO,Mariana Grajales,NBW
4259,Guapi,GPI,Juan Casiano,GPI
4260,Guapiles,GPL,Guapiles,GPL
4261,Guarapari,GUZ,Guarapari,GUZ
4262,Guarapuava,GPB,T.Thomas de Faria,GPB
4263,Guaratingueta,GUJ,Guaratingueta,GUJ
4264,Guari,GUG,Guari,GUG
4265,Guasdualito,GDO,Guasdualito,GDO
4266,Guasopa,GAZ,Guasopa,GAZ
4267,Guatemala City,GUA,La Aurora Intl,GUA
4268,Guayaquil,GYE,Jose Joaquin de Olmedo,GYE
4269,Guayaramerin,GYA,Guayaramerin,GYA
4270,Guaymas,GYM,Jose Maria Yanez Intl,GYM
4271,Guelmime,GLN,Guelmime,GLN
4272,Guerima,GMC,Guerima,GMC
4273,Guernsey,GCI,Guernsey,GCI
4274,Guerrero Negro,GUB,Guerrero Negro,GUB
4275,Guetersloh,GUT,Airport,GUT
4276,Guettin,GTI,Guettin,GTI
4277,Guiglo,GGO,Guiglo,GGO
4278,Guimaraes,GMS,Antonio Guerreiro,GMS
4279,Guiria,GUI,Guiria,GUI
4280,Gujrat,GRT,Gujrat,GRT
4281,Gulf Shores,GUF,Jack Edwards,GUF
4282,Gulfport/Biloxi,GPT,Keesler AFB,BIX
4283,Gulfport/Biloxi,GPT,International,GPT
4284,Gulgubip,GLP,Gulgubip,GLP
4285,Gulkana,GKN,Gulkana,GKN
4286,Guna,GUX,Guna,GUX
4287,Gunnedah,GUH,Gunnedah,GUH
4288,Gunnison,GUC,Gunnison-Crested Butte,GUC
4289,Gunung Sitoli,GNS,Binaka,GNS
4290,Guriaso,GUE,Guriaso,GUE
4291,Gurupi,GRP,Gurupi,GRP
4292,Gusap,GAP,Gusap,GAP
4293,Gustavus,GST,Bartlett Cove SPB,BQV
4294,Gustavus,GST,Airport,GST
4295,Guthrie,GOK,Guthrie-Edmond Rgnl,GOK
4296,Guwahati,GAU,Gopinath Bordoloi Intl,GAU
4297,Guymon,GUY,Municipal,GUY
4298,Guyuan,GYU,Liupanshan,GYU
4299,Gwa,GWA,Gwa,GWA
4300,Gwadar,GWD,International,GWD
4301,Gwalior,GWL,Gwalior,GWL
4302,Gweru,GWE,Gweru,GWE
4303,Gympie,GYP,Gympie,GYP
4304,Jijel,GJL,Ferhat Abbas,GJL
4305,Johannesburg,JNB,Grand Central,GCJ
4306,Kakamega,GGM,Kakamega,GGM
4307,Kemble,GBA,Cotswold,GBA
4308,Kennedy Lake,GHK,Gahcho Kue,GHK
4309,Khashm el Girba,GBU,Khashm el Girba,GBU
4310,Killeen/Fort Hood,ILE,Regional/R.Gray AAF,GRK
4311,Kongo Boumba,GKO,Kongo Boumba,GKO
4312,Kooddoo Island,GKK,Kooddoo Island,GKK
4313,Long Pasia,GSA,Long Pasia,GSA
4314,Longview,GGG,East Texas Regional,GGG
4315,Lumbala N\ guimbo,GGC,Lumbala N\guimbo,GGC
4316,Lyon,LYS,Grenoble-St Geoirs,GNB
4317,Lyudao (Green Island),GNI,Lyudao (Green Island),GNI
4318,Magadan,GDX,Sokol,GDX
4319,Magan,GYG,Magan,GYG
4320,Magdagachi,GDG,Magdagachi,GDG
4321,Marie-Galante,GBJ,Marie-Galante,GBJ
4322,Melle,GDI,Gordil,GDI
4323,Miele Mimbale,GIM,Miele Mimbale,GIM
4324,Mongomo,GEM,Mongomeyen,GEM
4325,Monument Valley,GMV,Monument Valley,GMV
4326,Mougulu,GUV,Mougulu,GUV
4327,Mount Cook,MON,Glentanner,GTN
4328,Mount Goldsworthy,GLY,Mount Goldsworthy,GLY
4329,Mount Gordon Mine,GPD,Mount Gordon Mine,GPD
4330,Mount Gunson,GSN,Mount Gunson,GSN
4331,Negage,GXG,Negage,GXG
4332,Negarbo,GBF,Negarbo,GBF
4333,Nhulunbuy,GOV,Gove,GOV
4334,Nizhny Novgorod,GOJ,Strigino,GOJ
4335,Noumea,NOU,Magenta,GEA
4336,Nueva Gerona,GER,Rafael Cabrera,GER
4337,Nuuk,GOH,Nuuk,GOH
4338,Patrai,GPA,Araxos,GPA
4339,Peru,GUS,Grissom ARB,GUS
4340,Puerto San Jose,GSJ,Puerto San Jose,GSJ
4341,Quincy,GNF,Gansner Field,GNF
4342,Rio de Janeiro,RIO,Galeao-A.C.Jobim Intl,GIG
4343,Sabie,GSS,Sabi Sabi,GSS
4344,San Sebastian/Gomera,GMZ,La Gomera,GMZ
4345,Sanliurfa,SFQ,Guney Anadolu Projesi,GNY
4346,Santo Angelo,GEL,Sepe Tiaraju,GEL
4347,Sao Paulo,SAO,Guarulhos Intl,GRU
4348,Sayun,GXF,Sayun,GXF
4349,Seoul,SEL,Gimpo International,GMP
4350,Sevierville,GKT,Gatlinburg,GKT
4351,Shark el-Owainat,GSQ,International,GSQ
4352,Sigiriya,GIU,Sigiriya,GIU
4353,Siguiri,GII,Siguiri,GII
4354,South Goulburn Island,GBL,South Goulburn Island,GBL
4355,Sovetskaya Gavan,GVN,May-Gatka,GVN
4356,Spokane,GEG,International,GEG
4357,Spokane,GEG,Felts Field,SFF
4358,Spokane,GEG,Fairchild AFB,SKA
4359,Tacoma,TIW,Gray AAF,GRF
4360,Taltheilei Narrows,GSL,Taltheilei Narrows,GSL
4361,The Granites,GTS,The Granites,GTS
4362,Totegegie,GMR,Totegegie,GMR
4363,Westerland,GWT,Sylt,GWT
4364,Winter Haven,GIF,Winter Haven\s Gilbert,GIF
4365,Xiahe,GXH,Gannan Xiahe,GXH
4366,Yagoua,GXX,Yagoua,GXX
4367,Yamagata,GAJ,Yamagata,GAJ
4368,Zlin,GTW,Holesov,GTW
4369,Alamogordo,ALM,Holloman AFB,HMN
4370,Alexandria,ALY,Borg el Arab,HBE
4371,Analalava,HVA,Analalava,HVA
4372,Batesville,HLB,Batesville,HLB
4373,Baytown,HPY,Baytown,HPY
4374,Big Spring,HCA,McMahon-Wrinkle,HCA
4375,Blytheville,BYH,Municipal,HKA
4376,Bulgan (Khovd),HBU,Bulgan (Khovd),HBU
4377,Camp Mackall,HFF,Mackall AAF,HFF
4378,Cheraw,HCW,Municipal,HCW
4379,Chesapeake,HTW,Lawrence Co. Airpark,HTW
4380,Chita,HTA,Kadala,HTA
4381,Chos Malal,HOS,Chos Malal,HOS
4382,Delingha,HXD,Delingha,HXD
4383,East Hampton,HTO,East Hampton,HTO
4384,Eil,HCM,Eil,HCM
4385,Entrance Island,HBH,Sea Plane Base,HBH
4386,Fort MacKay,HZP,Horizon,HZP
4387,Fort MacKay,HZP,Albian,JHL
4388,Fort MacKay,HZP,Firebag,YFI
4389,Frankfurt,FRA,Hahn,HHN
4390,Freetown,FNA,Hastings,HGS
4391,Ha\apai,HPA,Lifuka,HPA
4392,Habi,HBD,Habi,HBD
4393,Hachijojima,HAC,Hachijojima,HAC
4394,Hachinohe,HHE,Air Base,HHE
4395,Haelogo,HEO,Haelogo,HEO
4396,Hagerstown,HGR,Regional,HGR
4397,Hagfors,HFS,Hagfors,HFS
4398,Haifa,HFA,Haifa,HFA
4399,Haikou,HAK,Meilan Intl,HAK
4400,Hail,HAS,Hail,HAS
4401,Hailar,HLD,Dongshan,HLD
4402,Haines,HNS,Haines,HNS
4403,Haiphong,HPH,Cat Bi Intl,HPH
4404,Haivaro,HIT,Haivaro,HIT
4405,Hakodate,HKD,Hakodate,HKD
4406,Halali,HAL,Halali,HAL
4407,Half Moon Bay,HAF,Half Moon Bay,HAF
4408,Halls Creek,HCQ,Halls Creek,HCQ
4409,Halmstad,HAD,Halmstad,HAD
4410,Hamadan,HDM,Hamadan,HDM
4411,Hamar,HMR,Stafsberg,HMR
4412,Hambantota,HRI,SPB,HBT
4413,Hambantota,HRI,Mattala Rajapaksa Intl,HRI
4414,Hamburg,HAM,Hamburg Airport,HAM
4415,Hamburg,HAM,Luebeck-Blankensee,LBC
4416,Hamburg,HAM,Finkenwerder,XFW
4417,Hami,HMI,Hami,HMI
4418,Hamilton,HAB,Marion Co. Rankin Fite,HAB
4419,Hamilton,HAO,Butler County Regional,HAO
4420,Hamilton,HLT,Hamilton,HLT
4421,Hamilton,HLZ,International,HLZ
4422,Hamilton Island,HTI,Great Barrier Reef,HTI
4423,Hammerfest,HFT,Hammerfest,HFT
4424,Hampton,HPT,Municipal,HPT
4425,Hana,HNM,Hana,HNM
4426,Hanalei,HPV,Princeville,HPV
4427,Hanamaki,HNA,Hanamaki,HNA
4428,Handan,HDG,Handan,HDG
4429,Hangzhou,HGH,Xiaoshan Intl,HGH
4430,Hanimaadhoo Island,HAQ,Hanimaadhoo Island,HAQ
4431,Hanksville,HVE,Hanksville,HVE
4432,Hannover,HAJ,Airport,HAJ
4433,Hanoi,HAN,Noi Bai Intl,HAN
4434,Hanzhong,HZG,Chenggu,HZG
4435,Hao,HOI,Hao,HOI
4436,Harare,HRE,International,HRE
4437,Harbin,HRB,Taiping Intl,HRB
4438,Hargeisa,HGA,Egal Intl,HGA
4439,Harlingen,HRL,Valley International,HRL
4440,Harrisburg,HAR,Capital City,HAR
4441,Harrisburg,HAR,International,MDT
4442,Harrisburg,HSB,Raleigh,HSB
4443,Harrismith,HRS,Harrismith,HRS
4444,Harrison,HRO,Boone County,HRO
4445,Harrogate,HRT,Linton-on-Ouse RAF,HRT
4446,Hartford,HFD,Bradley International,BDL
4447,Hartford,HFD,Brainard,HFD
4448,Hartsville,HVS,Regional,HVS
4449,Haskovo,HKV,Malevo,HKV
4450,Hassi Messaoud,HME,Oued Irara,HME
4451,Hassi R\mel,HRM,Tilrempt,HRM
4452,Hastings,HSI,Municipal,HSI
4453,Hasvik,HAA,Hasvik,HAA
4454,Hat Yai,HDY,International,HDY
4455,Hatay,HTY,Hatay,HTY
4456,Hateruma,HTR,Hateruma,HTR
4457,Hato Corozal,HTZ,Hato Corozal,HTZ
4458,Hatteras,HNC,Billy Mtchell,HNC
4459,Hattiesburg/Laurel,LUL,Bobby L. Chain Muni,HBG
4460,Hatzfeldthaven,HAZ,Hatzfeldthaven,HAZ
4461,Haugesund,HAU,Karmoy,HAU
4462,Havadarya,HDR,Havadarya,HDR
4463,Havana,HAV,Jose Marti Intl,HAV
4464,Havana,HAV,Playa Baracoa,UPB
4465,Haverfordwest,HAW,Haverfordwest,HAW
4466,Havre,HVR,City-County,HVR
4467,Hawabango,HWA,Hawabango,HWA
4468,Hawk Inlet,HWI,Sea Plane Base,HWI
4469,Hawker,HWK,Hawker,HWK
4470,Hawthorne,HHR,Municipal,HHR
4471,Hawthorne,HTH,Industrial,HTH
4472,Hay,HXX,Hay,HXX
4473,Hayden,HDN,Yampa Valley,HDN
4474,Hayfield,HYF,Hayfield,HYF
4475,Hays,HYS,Regional,HYS
4476,Hayward,HWD,Executive,HWD
4477,Hayward,HYR,Sawyer County,HYR
4478,Hazebrouck,HZB,Merville-Colonne,HZB
4479,Hazleton,HZL,Regional,HZL
4480,Hazyview,HZV,Hazyview,HZV
4481,Headingly,HIP,Headingly,HIP
4482,Healy Lake,HKB,Healy Lake,HKB
4483,Heathlands,HAT,Heathlands,HAT
4484,Hechi,HCJ,Jin Cheng Jiang,HCJ
4485,Hefei,HFE,Xinqiao Intl,HFE
4486,Heho,HEH,Heho,HEH
4487,Heide/Buesum,HEI,Heide/Buesum,HEI
4488,Heidelberg,HDB,AAF,HDB
4489,Heihe,HEK,Heihe,HEK
4490,Heiweni,HNI,Heiweni,HNI
4491,Helena,HLN,Regional,HLN
4492,Helena-West Helena,HEE,Thompson-Robbins,HEE
4493,Helenvale,HLV,Helenvale,HLV
4494,Helgoland,HGL,Duene,HGL
4495,Helsinki,HEL,Helsinki-Vantaa,HEL
4496,Helsinki,HEL,Helsinki-Malmi,HEM
4497,Hemavan/Tarnaby,HMV,Hemavan/Tarnaby,HMV
4498,Hemet,HMT,Ryan,HMT
4499,Henbury,HRY,Henbury,HRY
4500,Hengchun,HCN,Hengchun,HCN
4501,Hengyang,HNY,Bajialing,HNY
4502,Herat,HEA,Herat,HEA
4503,Herendeen Bay,HED,Herendeen Bay,HED
4504,Heringsdorf,HDF,Heringsdorf,HDF
4505,Hermannsburg,HMG,Hermannsburg,HMG
4506,Hermiston,HES,Municipal,HES
4507,Hermosillo,HMO,I.Pesqueira Garcia,HMO
4508,Hervey Bay,HVB,Hervey Bay,HVB
4509,Hibbing/Chisholm,HIB,Range Regional,HIB
4510,Hickory,HKY,Regional,HKY
4511,High Wycombe,HYC,Air Park/Booker,HYC
4512,Highbury,HIG,Highbury,HIG
4513,Higlieg,HGI,Higlieg,HGI
4514,Higuerote,HGE,Higuerote,HGE
4515,Hikueru,HHZ,Hikueru,HHZ
4516,Hill City,HLC,Municipal,HLC
4517,Hillside,HLL,Hillside,HLL
4518,Hilton Head Island,HHH,Hilton Head,HHH
4519,Hingurakgoda,HIM,Minneriya,HIM
4520,Hinthada,HEB,Hinthada,HEB
4521,Hiroshima,HIJ,Hiroshima Airport,HIJ
4522,Hiroshima,HIJ,Hiroshimanishi,HIW
4523,Hisar,HSS,Hisar,HSS
4524,Hluhluwe,HLW,Hluhluwe,HLW
4525,Hobart,HBA,International,HBA
4526,Hobart,HBR,Regional,HBR
4527,Hobbs,HOB,Industrial Airpark,HBB
4528,Hobbs,HOB,Lea County Regional,HOB
4529,Hodeidah,HOD,International,HOD
4530,Hoedspruit,HDS,AFB,HDS
4531,Hof,HOQ,Plauen,HOQ
4532,Hofuf,HOF,Al-Ahsa,HOF
4533,Hogatza,HGZ,Hog River,HGZ
4534,Hohenems/Dornbirn,HOH,Airport,HOH
4535,Hohhot,HET,Baita Intl,HET
4536,Hokitika,HKK,Hokitika,HKK
4537,Hola,HOA,Hola,HOA
4538,Holbrook,HBK,Municipal,HBK
4539,Holdrege,HDE,Brewster Field,HDE
4540,Holguin,HOG,Frank Pais Intl,HOG
4541,Holland,HLM,Park Township,HLM
4542,Hollis,HYL,Clark Bay SPB,HYL
4543,Hollister,HLI,Municipal,HLI
4544,Hollywood,HWO,North Perry,HWO
4545,Holmavik,HVK,Holmavik,HVK
4546,Holy Cross,HCR,Holy Cross,HCR
4547,Homalin,HOX,Homalin,HOX
4548,Homer,HOM,Homer,HOM
4549,Homestead,HST,ARB,HST
4550,Hon,HUQ,Hon,HUQ
4551,Hong Kong,HKG,International,HKG
4552,Honiara,HIR,International,HIR
4553,Honinabi,HNN,Honinabi,HNN
4554,Honningsvag,HVG,Valan,HVG
4555,Honolulu,HNL,International,HNL
4556,Hoonah,HNH,Hoonah,HNH
4557,Hooper Bay,HPB,Hooper Bay,HPB
4558,Hopetoun,HTU,Hopetoun,HTU
4559,Hopevale,HPE,Hopevale,HPE
4560,Hopkinsville,HOP,Campbell AAF,HOP
4561,Hoquiam/Aberdeen,HQM,Bowerman,HQM
4562,Horizontina,HRZ,Walter Bundchen,HRZ
4563,Horn Island,HID,Horn Island,HID
4564,Hornafjordur,HFN,Hofn,HFN
4565,Horsham,HSM,Horsham,HSM
4566,Horta,HOR,Horta,HOR
4567,Hoskins,HKN,Hoskins,HKN
4568,Hot Springs,HOT,Memorial Field,HOT
4569,Hot Springs,HSP,Ingalls Field,HSP
4570,Hotan,HTN,Hotan,HTN
4571,Houeisay,HOE,Houeisay,HOE
4572,Houghton Lake,HTL,Roscommon County,HTL
4573,Houlton,HUL,International,HUL
4574,Houma,HUM,Terrebonne,HUM
4575,Houston,HOU,Lone Star Executive,CXO
4576,Houston,HOU,David Wayne Hooks Mem.,DWH
4577,Houston,HOU,Ellington,EFD
4578,Houston,HOU,William P. Hobby,HOU
4579,Houston,HOU,George Bush Intercont.,IAH
4580,Houston,HOU,West Houston,IWS
4581,Houston,HOU,Sugar Land Regional,SGR
4582,Hoy,HOY,Longhope,HOY
4583,Hsinchu,HSZ,Hsinchu,HSZ
4584,Hua Hin,HHQ,Hua Hin,HHQ
4585,Huahine,HUH,Fare,HUH
4586,Huai\an,HIA,Lianshui,HIA
4587,Huaihua,HJJ,Zhijiang,HJJ
4588,Hualien,HUN,Hualien,HUN
4589,Huanuco,HUU,David F. Fernandini,HUU
4590,Huatugou,HTT,Huatugou,HTT
4591,Huatulco,HUX,Bahias de Huatulco Int,HUX
4592,Hubli,HBX,Hubli,HBX
4593,Hudiksvall,HUV,Hudiksvall,HUV
4594,Hudson,HCC,Columbia County,HCC
4595,Hue,HUI,Phu Bai Intl,HUI
4596,Huehuetenango,HUG,Huehuetenango,HUG
4597,Huesca,HSK,Pirineos,HSK
4598,Hughenden,HGD,Hughenden,HGD
4599,Hughes,HUS,Hughes,HUS
4600,Hugo,HUJ,Stan Stamper Municipal,HUJ
4601,Huizhou,HUZ,Huizhou,HUZ
4602,Hukuntsi,HUK,Hukuntsi,HUK
4603,Hultsfred/Vimmerby,HLF,Hultsfred/Vimmerby,HLF
4604,Humacao,HUC,Humacao,HUC
4605,Humaita,HUW,F.Correa da Cruz,HUW
4606,Humberside,HUY,Humberside,HUY
4607,Humbert River,HUB,Humbert River,HUB
4608,Humboldt,HUD,Municipal,HUD
4609,Humera,HUE,Humera,HUE
4610,Huntingburg,HNB,Huntingburg,HNB
4611,Huntington/Ashland KY,HTS,Tri-State,HTS
4612,Huntsville,HSV,Intl-Carl T.Jones Fld,HSV
4613,Huntsville,HSV,Redstone AAF,HUA
4614,Huntsville,HTV,Bruce Brothers Rgnl,HTV
4615,Huolinguole,HUO,Huolinhe,HUO
4616,Hurghada,HRG,International,HRG
4617,Huron,HON,Regional,HON
4618,Husavik,HZK,Husavik,HZK
4619,Huslia,HSL,Huslia,HSL
4620,Hutchinson,HUT,Municipal,HUT
4621,Hwange National Park,HWN,Hwange National Park,HWN
4622,Hyannis,HYA,Barnstable Municipal,HYA
4623,Hydaburg,HYG,Sea Plane Base,HYG
4624,Hyderabad,HDD,Hyderabad,HDD
4625,Hyderabad,HYD,Begumpet,BPM
4626,Hyderabad,HYD,Rajiv Gandhi Int\l,HYD
4627,Hyvinkaa,HYV,Hyvinkaa,HYV
4628,Irakleion,HER,Nikos Kazantzakis,HER
4629,Jackson,JAN,Hawkins Field,HKS
4630,Jakarta,JKT,Halim Perdanakusuma,HLP
4631,Jamestown,HLE,Saint Helena,HLE
4632,Jinju,HIN,Sacheon,HIN
4633,Johannesburg,JNB,Lanseria International,HLA
4634,Khajuraho,HJR,Khajuraho,HJR
4635,Khanty-Mansiysk,HMA,Khanty-Mansiysk,HMA
4636,Kharkiv,HRK,Osnova Intl,HRK
4637,Khatanga,HTG,Khatanga,HTG
4638,Khatgal,HTM,Khatgal,HTM
4639,Khmelnytskyi,HMJ,International,HMJ
4640,Khovd,HVD,Khovd,HVD
4641,Khujirt,HJT,Khujirt,HJT
4642,Killeen/Fort Hood,ILE,Hood AAF,HLR
4643,Komako,HOC,Komako,HOC
4644,Korhogo,HGO,Korhogo,HGO
4645,La Herrera,HRR,La Herrera,HRR
4646,Lajamanu,HOK,Hooker Creek,HOK
4647,Lake Havasu City,HII,Lake Havasu City,HII
4648,Las Vegas,LAS,Henderson ExecutiveA,HSH
4649,Liping,HZH,Liping,HZH
4650,Mae Hong Son,HGN,Mae Hong Son,HGN
4651,Mokuleia,HDH,Dillingham,HDH
4652,Moroni,YVA,Prince Said Ibrahim,HAH
4653,Mount Hagen,HGU,Kagamuga,HGU
4654,Natchez,HEZ,Adams County,HEZ
4655,New Haven,HVN,Tweed,HVN
4656,Ogden,OGD,Hill AFB,HIF
4657,Orsta/Volda,HOV,Hovden,HOV
4658,Phuket,HKT,International,HKT
4659,Portland,PDX,Hillsboro,HIO
4660,Quang Duc,HOO,Nhon Co,HOO
4661,Saga,HSG,Saga,HSG
4662,Seosan,HMY,Seosan,HMY
4663,Shaoguan,HSC,Guitou,HSC
