Search results for "P"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Pasco	PSC	Tri-Cities	PSC
Pasir Pangarayan	PPR	Pasir Pangarayan	PPR
Pasni	PSI	Pasni	PSI
Paso Robles	PRB	Municipal	PRB
Passo Fundo	PFB	Lauro Kurtz	PFB
Passos	PSW	Jose Figueiredo	PSW
Pasto	PSO	Antonio Narino	PSO
Patna	PAT	Jayaprakash Narayan	PAT
Pato Branco	PTO	J.Loureiro Cardoso	PTO
Patos de Minas	POJ	P.Pereira dos Santos	POJ
Patreksfjordur	PFJ	Patreksfjordur	PFJ
Pattani	PAN	Pattani	PAN
Pattaya	PYX	Pattaya Airpark	PYX
Patterson	PTN	Harry P. Williams Mem.	PTN
Pau	PUF	Pyrenees	PUF
Pauk	PAU	Pauk	PAU
Paulo Afonso	PAV	Paulo Afonso	PAV
Pavlodar	PWQ	Pavlodar	PWQ
Pawe	PWI	Beles	PWI
Payan	PYN	Payan	PYN
Paysandu	PDU	Tydeo Larre Borges	PDU
Payson	PJB	Payson	PJB
Paz de Ariporo	PZA	Paz de Ariporo	PZA
Peach Springs	PGS	Grand Canyon Caverns	PGS
Pebane	PEB	Pebane	PEB
Pechora	PEX	Pechora	PEX
Pecos	PEQ	Municipal	PEQ
Pecs	PEV	Pogany	PEV
Pedasi	PDM	Capt. J. Montenegro	PDM
Pedernales	PDZ	Pedernales	PDZ
Pedro Bay	PDB	Pedro Bay	PDB
Pedro Juan Caballero	PJC	Augusto Roberto Fuster	PJC
Peenemuende	PEF	Peenemuende	PEF
Pehuajo	PEH	Comodoro P. Zanni	PEH
Pekanbaru	PKU	Sultan Syarif Kasim II	PKU
Pelaneng	PEL	Pelaneng	PEL
Pelican	PEC	Sea Plane Base	PEC
Pell City	PLR	St Clair County	PLR
Pellston	PLN	Regional (Emmet Co.)	PLN
Pelotas	PET	International	PET
Pemba	PMA	Pemba	PMA
Pemba	POL	Pemba	POL
Pembina	PMB	Municipal	PMB
Penang	PEN	International	PEN
Pendleton	PDT	Eastern Oregon Rgnl	PDT
Pendopo	PDO	Pendopo	PDO
Penglai	PNJ	Shahekou	PNJ
Penneshaw	PEA	Penneshaw	PEA
Penong	PEY	Penong	PEY
Penrhyn Atoll	PYE	Penrhyn Atoll	PYE
Pensacola	PNS	NAS (F.Sherman Field)	NPA
Pensacola	PNS	Saufley Field NOLF	NUN
Pensacola	PNS	Metropolitan Area	PNS
Pensacola	PNS	International	PNS
Penza	PEZ	Ternovka	PEZ
Peoria	PIA	General Downing Intl	PIA
Peppimenarti	PEP	Peppimenarti	PEP
Peraitepuy	PPH	Peraitepuy	PPH
Pereira	PEI	Matecana Intl	PEI
Perigueux	PGX	Bassillac	PGX
Perito Moreno	PMQ	Perito Moreno	PMQ
Perm	PEE	Bolshoye Savino	PEE
Perpignan	PGF	Rivesaltes	PGF
Perry	PRO	Municipal	PRO
Perry Island	PYL	Sea Plane Base	PYL
Perth	PER	Jandakot	JAD
Perth	PER	International	PER
Perth	PSL	Scone	PSL
Perugia	PEG	St. Francis of Assisi	PEG
Pescara	PSR	Abruzzo	PSR
Peshawar	PEW	Bacha Khan Intl	PEW
Petersburg	PGC	Grant County	PGC
Petersburg	PSG	James A. Johnson	PSG
Petersburg	PTB	Dinwiddie County	PTB
Petrolina	PNZ	Senador Nilo Coelho	PNZ
Petropavlovsk	PKC	Yelizovo	PKC
Petropavlovsk	PPK	Petropavlovsk	PPK
Petrozavodsk	PES	Besovets	PES
Pevek	PWE	Pevek	PWE
Phalaborwa	PHW	Hendrik van Eck	PHW
Phan Rang	PHA	Air Base	PHA
Phanom Sarakham	PMM	Phanom Sarakham	PMM
Phaplu	PPL	Phaplu	PPL
Phetchabun	PHY	Phetchabun	PHY
Philadelphia	PHL	Wings Field	BBX
Philadelphia	PHL	Metropolitan Area	PHL
Philadelphia	PHL	International	PHL
Philadelphia	PHL	Northeast Philadelphia	PNE
Philadelphia	PHL	Essington SPB	PSQ
Philadelphia	PHL	Trenton-Mercer	TTN
Philip	PHP	Philip	PHP
Philipsburg	PSB	Bellefonte	PSB
Phinda	PZL	Zulu Inyala	PZL
Phitsanulok	PHS	Phitsanulok	PHS
Phnom Penh	PNH	International	PNH
Phoenix	PHX	Mesa Gateway	AZA
Phoenix	PHX	Deer Valley	DVT
Phoenix	PHX	Luke AFB	LUF
Phoenix	PHX	Falcon Field	MSC
Phoenix	PHX	Metropolitan Area	PHX
Phoenix	PHX	Sky Harbor Intl	PHX
Phoenix	PHX	Scottsdale Apt	SCF
Phongsaly	PCQ	Boun Neua	PCQ
Phosphate Hill	PHQ	The Monument	PHQ
Phrae	PRH	Phrae	PRH
Phu Quoc Island	PQC	International	PQC
Phuoc Long	PHU	Phuoc Long	PHU
Pico Island	PIX	Pico Island	PIX
Picos	PCS	Picos	PCS
Picton	PCN	Picton	PCN
Piedras Negras	PDS	International	PDS
Pierre	PIR	Regional	PIR
Piestany	PZY	Piestany	PZY
Pietermaritzburg	PZB	Pietermaritzburg	PZB
Pikeville	PVL	Pike County Regional	PVL
Pikwitonei	PIW	Pikwitonei	PIW
Pilar	PIL	Carlos Miguel Jimenez	PIL
Pilot Point	PIP	Metropolitan Area	PIP
Pilot Point	PIP	Pilot Point Airport	PIP
Pilot Point	PIP	Ugashik Bay	UGB
Pilot Station	PQS	Pilot Station	PQS
Pimaga	PMP	Pimaga	PMP
Pimenta Bueno	PBQ	Pimenta Bueno	PBQ
Pindiu	PDI	Pindiu	PDI
Pine Bluff	PBF	Grider Field	PBF
Pine Cay	PIC	Pine Cay	PIC
Pine Mountain	PIM	Harris County	PIM
Pinedale	PWY	Ralph Wenz Field	PWY
Pingtung	PIF	Pingtung South	PIF
Pinheiro	PHI	Pinheiro	PHI
Pipillipai	PIQ	Pipillipai	PIQ
Pirapora	PIV	Pirapora	PIV
Pisa	PSA	Galileo Galilei	PSA
Pisco	PIO	Renan Elias Olivera	PIO
Pitalito	PTX	Pitalito	PTX
Pitts Town	PWN	Pitts Town	PWN
Pittsburg	PTS	Atkinson Municipal	PTS
Pittsburgh	PIT	Allegheny County	AGC
Pittsburgh	PIT	Metropolitan Area	PIT
Pittsburgh	PIT	International	PIT
Pittsfield	PSF	Municipal	PSF
Piura	PIU	G.Concha Iberico Intl	PIU
Placencia	PLJ	Placencia	PLJ
Placerville	PVF	Placerville	PVF
Plainview	PVW	Hale County	PVW
Planadas	PLA	Planadas	PLA
Planeta Rica	PLC	Planeta Rica	PLC
Platinum	PTU	Platinum	PTU
Plato	PLT	Plato	PLT
Plattsburgh	PBG	International	PBG
Playa del Carmen	PCM	Playa del Carmen	PCM
Playa Grande	PKJ	Playa Grande	PKJ
Playa Samara/Carrillo	PLD	Playa Samara/Carrillo	PLD
Playon Chico	PYC	Playon Chico	PYC
Pleiku	PXU	Pleiku	PXU
Plentywood	PWD	Sher-Wood	PWD
Plettenberg Bay	PBZ	Plettenberg Bay	PBZ
Plovdiv	PDV	Krumovo	PDV
Plymouth	PLH	City Airport	PLH
Plymouth	PLY	Municipal	PLY
Plymouth	PYM	Municipal	PYM
Po	PUP	Po	PUP
Pocahontas	POH	Municipal	POH
Pocatello	PIH	Regional	PIH
Pocos de Caldas	POO	Walther Moreira Salles	POO
Podor	POD	Podor	POD
Pohnpei	PNI	International	PNI
Point Hope	PHO	Point Hope	PHO
Point Lay	PIZ	Point Lay	PIZ
Pointe-a-Pitre	PTP	Le Raizet	PTP
Pointe-Noire	PNR	Pointe-Noire	PNR
Poitiers	PIS	Biard	PIS
Pokhara	PKR	Pokhara	PKR
Polacca	PXL	Polacca	PXL
Polokwane	PTG	International	PTG
Poltava	PLV	Poltava	PLV
Polyarny	PYJ	Polyarny	PYJ
Pompano Beach	PPM	Airpark	PPM
Ponca City	PNC	Regional	PNC
Ponce	PSE	Mercedita	PSE
Pondicherry	PNY	Pondicherry	PNY
Pondok Cabe	PCB	Pondok Cabe	PCB
Ponta Delgada	PDL	Joao Paulo II	PDL
Ponta do Ouro	PDD	Ponta do Ouro	PDD
Ponta Grossa	PGZ	A.Amilton Beraldo	PGZ
Ponta Pora	PMG	International	PMG
Pontiac	PTK	Oakland County Intl	PTK
Pontianak	PNK	Supadio	PNK
Popayan	PPN	Guillermo L. Valencia	PPN
Poplar Bluff	POF	Municipal	POF
Poplarville	PCU	Pearl River County	PCU
Popondetta	PNP	Girua	PNP
Poptun	PON	Poptun	PON
Porbandar	PBD	Porbandar	PBD
