Search results for "R"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Renton	RNT	Municipal	RNT
Resende	REZ	Resende	REZ
Resistencia	RES	Resistencia	RES
Retalhuleu	RER	Retalhuleu	RER
Reus	REU	Reus	REU
Rewa	REW	Chorhata	REW
Rexburg	RXE	Madison County	RXE
Reyes	REY	Reyes	REY
Reykholar	RHA	Reykholar	RHA
Reykjavik	REK	Keflavik International	KEF
Reykjavik	REK	Metropolitan Area	REK
Reykjavik	REK	Reykjavik Domestic	RKV
Reynosa	REX	Lucio Blanco Intl	REX
Rhinelander	RHI	Oneida County	RHI
Rhodes	RHO	Diagoras	RHO
Ribeirao Preto	RAO	Leite Lopes	RAO
Riberalta	RIB	Riberalta	RIB
Rice Lake	RIE	Regional-Carl's Field	RIE
Richards Bay	RCB	Richards Bay	RCB
Richard-Toll	RDT	Richard-Toll	RDT
Richfield	RIF	Municipal	RIF
Richland	RLD	Richland	RLD
Richmond	RCM	Richmond	RCM
Richmond	RIC	International	RIC
Richmond	RID	Municipal	RID
Rifle	RIL	Garfield County Rgnl	RIL
Riga	RIX	International	RIX
Rijeka	RJK	Rijeka	RJK
Rimatara	RMT	Rimatara	RMT
Rimini	RMI	Miramare	RMI
Rincon de los Sauces	RDS	Rincon de Los Sauces	RDS
Ringgi Cove	RIN	Ringgi Cove	RIN
Rio Branco	RBR	Placido de Castro Intl	RBR
Rio Cuarto	RCU	Las Higueras	RCU
Rio de Janeiro	RIO	Galeao-A.C.Jobim Intl	GIG
Rio de Janeiro	RIO	Metropolitan Area	RIO
Rio de Janeiro	RIO	Santos Dumont	SDU
Rio de Janeiro	RIO	Santa Cruz AB	SNZ
Rio Frio	RFR	Rio Frio	RFR
Rio Gallegos	RGL	Piloto N. Fernandez	RGL
Rio Grande	RGA	Hermes Quijada	RGA
Rio Grande	RIG	Regional	RIG
Rio Hato	RIH	Scarlett Martinez Intl	RIH
Rio Mayo	ROY	Rio Mayo	ROY
Rio Turbio	RYO	Rio Turbio	RYO
Rio Verde	RVD	Leite de Castro	RVD
Riohacha	RCH	Almirante Padilla	RCH
Rioja	RIJ	Juan Simons Vela	RIJ
Rishiri	RIS	Rishiri	RIS
River Cess	RVC	River Cess	RVC
Rivera	RVY	Oscar D. Gestido	RVY
Riverside	RAL	Metropolitan Area	RAL
Riverside	RAL	Municipal	RAL
Riverside	RAL	Flabob	RIR
Riverside	RAL	March JARB	RIV
Riverton	RIW	Regional	RIW
Rivne	RWN	International	RWN
Riyadh	RUH	King Khalid Intl	RUH
Rizhao	RIZ	Shanzihe	RIZ
Roanne	RNE	Renaison	RNE
Roanoke	ROA	Regional (Woodrum Fld)	ROA
Roanoke Rapids	RZZ	Halifax County	RZZ
Roatan	RTB	Juan Manuel Galvez	RTB
Robertson	ROD	Robertson	ROD
Robinhood	ROH	Robinhood	ROH
Robinson River	RNR	Robinson River	RNR
Robinson River	RRV	Robinson River	RRV
Robinvale	RBC	Robinvale	RBC
Robore	RBO	Robore	RBO
Roche Harbor	RCE	Sea Plane Base	RCE
Rochefort	RCO	Saint Agnant	RCO
Rochester	RCR	Fulton County	RCR
Rochester	RCS	Rochester	RCS
Rochester	ROC	Greater Rochester Intl	ROC
Rochester	RST	International	RST
Rock Hill	RKH	York County-Bryant Fld	RKH
Rock Sound	RSD	International	RSD
Rock Springs	RKS	Sweetwater County	RKS
Rockdale	RCK	H.H. Coffield Regional	RCK
Rockhampton	ROK	Rockhampton	ROK
Rockhampton Downs	RDA	Rockhampton Downs	RDA
Rockland	RKD	Knox County Regional	RKD
Rockport	RKP	Aransas County	RKP
Rockwood	RKW	Municipal	RKW
Rocky Mount	RWI	Wilson Regional	RWI
Rodez	RDZ	Marcillac	RDZ
Rodrigues Island	RRG	Sir Gaetan Duval	RRG
Rodriguez de Mendoza	RIM	San Nicolas	RIM
Roebourne	RBU	Roebourne	RBU
Rogers	ROG	Municipal - Carter Fld	ROG
Roi Et	ROI	Roi Et	ROI
Rokeby	RKY	Rokeby	RKY
Rokot	RKI	Sipora	RKI
Rolling Fork	RFK	Rollang Field	RFK
Rolpa	RPA	Rolpa	RPA
Roma	RMA	Roma	RMA
Rome	REO	State	REO
Rome	RME	Griffiss Intl	RME
Rome	RMG	Richard B Russell Rgnl	RMG
Rome	ROM	Ciampino	CIA
Rome	ROM	Fiumicino	FCO
Rome	ROM	Metropolitan Area	ROM
Rondonopolis	ROO	Maestro Marinho Franco	ROO
Rongelap Island	RNP	Rongelap Island	RNP
Ronneby/Karlskrona	RNB	Kallinge	RNB
Roosevelt	ROL	Municipal	ROL
Roper Bar	RPB	Roper Bar	RPB
Roper Valley	RPV	Roper Valley	RPV
Roros	RRS	Roros	RRS
Rorvik	RVK	Ryum	RVK
Rosario	ROS	Islas Malvinas	ROS
Rosario	RSJ	Sea Plane Base	RSJ
Roseau	ROX	Municipal	ROX
Roseberth	RSB	Roseberth	RSB
Roseburg	RBG	Regional	RBG
Rosella Plains	RLP	Rosella Plains	RLP
Rosh Pina	RPN	Ben Ya' akov	RPN
Rosh Pinah	RHN	Skorpion Mine	RHN
Rosita	RFS	Rosita	RFS
Rost	RET	Rost	RET
Rostock	RLG	Laage	RLG
Rostov	ROV	Rostov	ROV
Roswell	ROW	Intl Air Center	ROW
Rota	ROP	International	ROP
Rota	ROZ	US Naval Station	ROZ
Roti	RTI	David C. Saudale	RTI
Rotorua	ROT	International	ROT
Rotterdam	RTM	Airport	RTM
Rottnest Island	RTS	Rottnest Island	RTS
Rotuma Island	RTA	Rotuma Island	RTA
Roundup	RPX	Roundup	RPX
Rourkela	RRK	Rourkela	RRK
Rouses Point	RSX	Seaplane Base	RSX
Rovaniemi	RVN	Rovaniemi	RVN
Roxas	RXS	Roxas	RXS
Roy Hill Station	RHL	Roy Hill Station	RHL
Royan	RYN	Medis	RYN
Rubelsanto	RUV	Rubelsanto	RUV
Ruby	RBY	Ruby	RBY
Rugao	RUG	Rugao	RUG
Ruhengeri	RHG	Ruhengeri	RHG
Ruidoso	RUI	Sierra Blanca Regional	RUI
Rukumkot	RUK	Chaurjahari	RUK
